1,Josh Allen,Buf,QB,
2,Justin Herbert,LAC,QB,
3,Tom Brady,TB,QB,
4,Patrick Mahomes,KC,QB,
5,Cooper Kupp,LAR,WR,
6,Jonathan Taylor,Ind,RB,
7,Matthew Stafford,LAR,QB,
8,Aaron Rodgers,GB,QB,
9,Dak Prescott,Dal,QB,
10,Joe Burrow,Cin,QB,
11,Jalen Hurts,Phi,QB,
12,Kyler Murray,Ari,QB,
13,Austin Ekeler,LAC,RB,
14,Kirk Cousins,Min,QB,
15,Deebo Samuel,SF,WR,
16,Davante Adams,GB,WR,
17,Ryan Tannehill,Ten,QB,
18,Justin Jefferson,Min,WR,
19,Derek Carr,LV,QB,
20,Joe Mixon,Cin,RB,
21,Carson Wentz,Ind,QB,
22,Ja'Marr Chase,Cin,WR,
23,Najee Harris,Pit,RB,
24,Lamar Jackson,Bal,QB,
25,Russell Wilson,Sea,QB,
26,Mark Andrews,Bal,TE,
27,Tyreek Hill,KC,WR,
28,Jimmy Garoppolo,SF,QB,
29,James Conner,Ari,RB,
30,Mac Jones,NE,QB,
31,Taylor Heinicke,Was,QB,
32,Matt Ryan,Atl,QB,
33,Stefon Diggs,Buf,WR,
34,Ezekiel Elliott,Dal,RB,
35,Ben Roethlisberger,Pit,QB,
36,Mike Evans,TB,WR,
37,Leonard Fournette,TB,RB,
38,Diontae Johnson,Pit,WR,
39,Travis Kelce,KC,TE,
40,Trevor Lawrence,Jax,QB,
41,Alvin Kamara,NO,RB,
42,Teddy Bridgewater,Den,QB,
43,Mike Williams,LAC,WR,
44,Cordarrelle Patterson,Atl,WR,RB
45,Antonio Gibson,Was,RB,
46,Hunter Renfrow,LV,WR,
47,DK Metcalf,Sea,WR,
48,Nick Chubb,Cle,RB,
49,Tyler Lockett,Sea,WR,
50,Keenan Allen,LAC,WR,
51,Aaron Jones,GB,RB,
52,Jared Goff,Det,QB,
53,Damien Harris,NE,RB,
54,Josh Jacobs,LV,RB,
55,Michael Pittman Jr.,Ind,WR,
56,Baker Mayfield,Cle,QB,
57,Jaylen Waddle,Mia,WR,
58,Chris Godwin,TB,WR,
59,CeeDee Lamb,Dal,WR,
60,DJ Moore,Car,WR,
61,Tua Tagovailoa,Mia,QB,
62,Dalvin Cook,Min,RB,
63,Brandin Cooks,Hou,WR,
64,Derrick Henry,Ten,RB,
65,Javonte Williams,Den,RB,
66,Amon-Ra St. Brown,Det,WR,
67,Tee Higgins,Cin,WR,
68,Melvin Gordon III,Den,RB,
69,Marquise Brown,Bal,WR,
